0,0.000630817,0.00503659,0.0218546
1e-05,0.000618907,0.00537052,0.0293297
0.0001,0.000657506,0.00367318,0.0271281
0.001,0.00070327,0.0041664,0.0322876
0.01,0.000738731,0.00492366,0.0388959
0.05,0.000736768,0.0055926,0.0432885
0.1,0.00075604,0.00628109,0.0471848
0.5,0.000916379,0.00620571,0.0462923
1,0.00111628,0.00360558,0.0300446
5,0.000795113,0.00159953,0.0210049
10,0.000651296,0.00141648,0.0206659
50,0.000468766,0.00151568,0.0247321
100,0.000591772,0.00145004,0.0344012
1000,0.000509205,0.00151686,0.0275726
10000,0.000516632,0.00150524,0.0275096
100000,0.000495864,0.00153399,0.0267263
1e+06,0.000495853,0.000753123,0.00945462
1e+07,0.000488604,0.000642961,0.000929772
1e+08,0.000455374,0.000170882,9.78023e-05
1e+09,0.000454105,1.05681e-05,3.18133e-06
1e+10,0.000454175,1.52819e-07,4.06974e-08
